Order ID;Customer ID;Item Type;Sales Channel;Order Priority;Order Date;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit
669165933;51280;Baby Food;Offline;H;28/05/2010;27/06/2010;9925;255,28;159,42;2533654;1582243,5;951410,5
963881480;48765;Cereal;Online;C;22/08/2012;15/09/2012;2804;205,7;117,11;576782,8;328376,44;248406,36
341417157;38297;Office Supplies;Offline;L;02/05/2014;08/05/2014;1779;651,21;524,96;1158502,59;933903,84;224598,75
514321792;91409;Fruits;Online;C;20/06/2014;05/07/2014;8102;9,33;6,92;75591,66;56065,84;19525,82
115456712;91287;Office Supplies;Offline;L;01/02/2013;06/02/2013;5062;651,21;524,96;3296425,02;2657347,52;639077,5
547995746;16140;Baby Food;Online;C;04/02/2015;21/02/2015;2974;255,28;159,42;759202,72;474115,08;285087,64
135425221;85487;Household;Offline;M;23/04/2011;27/04/2011;4187;668,27;502,54;2798046,49;2104134,98;693911,51
871543967;42489;Vegetables;Online;H;17/07/2012;27/07/2012;8082;154,06;90,93;1245112,92;734896,26;510216,66
770463311;75955;Personal Care;Offline;M;14/07/2015;25/08/2015;6070;81,73;56,67;496101,1;343986,9;152114,2
616607081;51483;Cereal;Online;H;18/04/2014;30/05/2014;6593;205,7;117,11;1356180,1;772106,23;584073,87
814711606;58133;Vegetables;Online;H;24/06/2011;12/07/2011;124;154,06;90,93;19103,44;11275,32;7828,12
939825713;62909;Clothes;Offline;H;02/08/2014;19/08/2014;4168;109,28;35,84;455479,04;149381,12;306097,92
187310731;97403;Clothes;Online;L;13/01/2017;01/03/2017;8263;109,28;35,84;902980,64;296145,92;606834,72
522840487;25948;Household;Offline;H;08/02/2017;13/02/2017;8974;668,27;502,54;5997054,98;4509793,96;1487261,02
832401311;25255;Personal Care;Offline;C;19/02/2014;23/02/2014;4901;81,73;56,67;400558,73;277739,67;122819,06
972292029;54612;Clothes;Online;M;23/04/2012;03/06/2012;1673;109,28;35,84;182825,44;59960,32;122865,12
419123971;34472;Cosmetics;Offline;M;19/11/2016;18/12/2016;6952;437,2;263,33;3039414,4;1830670,16;1208744,24
519820964;81931;Beverages;Offline;C;01/04/2015;18/04/2015;5430;47,45;31,79;257653,5;172619,7;85033,8
441619336;99234;Household;Offline;L;30/12/2010;20/01/2011;3830;668,27;502,54;2559474,1;1924728,2;634745,9
322067916;86397;Meat;Online;L;31/07/2012;11/09/2012;5908;421,89;364,69;2492526,12;2154588,52;337937,6
819028031;95145;Baby Food;Online;L;14/05/2014;28/06/2014;7450;255,28;159,42;1901836;1187679;714157
860673511;49949;Baby Food;Online;H;31/07/2015;03/09/2015;1273;255,28;159,42;324971,44;202941,66;122029,78
795490682;25948;Snacks;Online;L;30/06/2016;26/07/2016;2225;152,58;97,44;339490,5;216804;122686,5
142278373;92957;Fruits;Online;H;08/09/2014;04/10/2014;2187;9,33;6,92;20404,71;15134,04;5270,67
740147912;80826;Personal Care;Online;L;07/05/2016;10/05/2016;5070;81,73;56,67;414371,1;287316,9;127054,2
898523128;73568;Cosmetics;Online;H;22/05/2017;05/06/2017;1815;437,2;263,33;793518;477943,95;315574,05
347140347;96786;Fruits;Online;M;13/10/2014;10/11/2014;5398;9,33;6,92;50363,34;37354,16;13009,18
686048400;65444;Fruits;Online;L;07/05/2010;10/05/2010;5822;9,33;6,92;54319,26;40288,24;14031,02
435608613;95145;Beverages;Offline;C;18/07/2014;30/07/2014;5124;47,45;31,79;243133,8;162891,96;80241,84
886494815;67886;Household;Offline;L;26/05/2012;09/06/2012;2370;668,27;502,54;1583799,9;1191019,8;392780,1
249693334;35480;Cosmetics;Offline;M;17/09/2012;20/10/2012;8661;437,2;263,33;3786589,2;2280701,13;1505888,07
406502997;61322;Personal Care;Offline;C;29/12/2013;28/01/2014;2125;81,73;56,67;173676,25;120423,75;53252,5
158535134;87475;Office Supplies;Online;C;27/10/2015;25/11/2015;2924;651,21;524,96;1904138,04;1534983,04;369155
177713572;69652;Household;Offline;H;16/01/2015;01/03/2015;8250;668,27;502,54;5513227,5;4145955;1367272,5
756274640;31725;Snacks;Online;M;25/02/2017;25/02/2017;7327;152,58;97,44;1117953,66;713942,88;404010,78
456767165;15264;Personal Care;Offline;L;08/05/2017;21/05/2017;6409;81,73;56,67;523807,57;363198,03;160609,54
162052476;97738;Fruits;Online;L;22/11/2011;03/12/2011;3784;9,33;6,92;35304,72;26185,28;9119,44
825304400;67886;Meat;Online;M;14/01/2017;23/01/2017;4767;421,89;364,69;2011149,63;1738477,23;272672,4
320009267;86142;Office Supplies;Online;L;01/04/2012;08/05/2012;6708;651,21;524,96;4368316,68;3521431,68;846885
189965903;54612;Office Supplies;Online;M;16/02/2012;28/02/2012;3987;651,21;524,96;2596374,27;2093015,52;503358,75
699285638;62760;Personal Care;Online;H;11/03/2017;28/03/2017;3015;81,73;56,67;246415,95;170860,05;75555,9
382392299;44148;Cosmetics;Online;M;06/02/2010;25/02/2010;7234;437,2;263,33;3162704,8;1904929,22;1257775,58
994022214;67886;Cereal;Offline;H;07/06/2012;08/06/2012;2117;205,7;117,11;435466,9;247921,87;187545,03
759224212;84586;Vegetables;Online;H;06/10/2012;10/11/2012;171;154,06;90,93;26344,26;15549,03;10795,23
223359620;69652;Clothes;Online;H;14/11/2015;18/11/2015;5930;109,28;35,84;648030,4;212531,2;435499,2
902102267;46259;Cereal;Offline;H;29/03/2016;29/04/2016;962;205,7;117,11;197883,4;112659,82;85223,58
331438481;35109;Cosmetics;Online;C;31/12/2016;31/12/2016;8867;437,2;263,33;3876652,4;2334947,11;1541705,29
617667090;35480;Personal Care;Online;M;23/12/2010;31/01/2011;273;81,73;56,67;22312,29;15470,91;6841,38
787399423;59635;Clothes;Offline;C;14/10/2014;14/11/2014;7842;109,28;35,84;856973,76;281057,28;575916,48
837559306;25067;Office Supplies;Offline;C;11/01/2012;13/01/2012;1266;651,21;524,96;824431,86;664599,36;159832,5
385383069;23090;Clothes;Online;C;02/02/2010;18/03/2010;2269;109,28;35,84;247956,32;81320,96;166635,36
918419539;45256;Fruits;Online;L;18/08/2013;18/09/2013;9606;9,33;6,92;89623,98;66473,52;23150,46
